Asset Age,Time Since Last Maintenance,Total Spare Parts Cost,Failure Count,Avg Time Between Maintenance,Month,Asset Number,Predicted Time to Next Failure,Predicted Failure Type,Predicted Cost,Actual Time to Next Failure,Actual Failure Type,Actual Cost
363,0.0,1172.0,16,22.25,8,ASD-COC-TFL008-AHU166,50.61,DAMAGED,1172.0,47.0,LEAKAGE,1172.0
408,0.0,1652.16,20,20.33333333333333,2,ASD-COC-GFL008-AHU110,62.1,DAMAGED,1652.2485000000029,18.0,DAMAGED,1652.16
266,0.0,512.6,18,12.36,11,ASD-COC-TFL001-AHU129,36.93,DAMAGED,512.5999999999991,40.0,DIRTY,512.6
432,0.0,0.0,10,24.26923076923077,7,ASD-COC-TFL004-AHU160,34.36,DAMAGED,0.0,0.0,DAMAGED,0.0
423,0.0,1478.44,14,11.655172413793103,4,ASD-COC-TFL008-AHU153,30.85,DIRTY,1478.4818000000016,61.0,LEAKAGE,1478.44
106,0.0,432.78,5,24.83333333333333,7,ASD-COC-TFL006-AHU149,46.58,WARNING,432.33969999999994,0.0,WARNING,432.78
300,0.0,0.0,8,29.77777777777778,11,ASD-COC-GFL006-AHU108,84.21,NOT WORKING,0.0,7.0,DAMAGED,0.0
43,0.0,74.0,9,18.973684210526315,2,ASD-MTB-FOF010-AHU046,58.09,DIRTY,75.1994999999999,0.0,DIRTY,74.0
637,0.0,2245.92,34,18.4,11,ASD-COC-GFL005-AHU107,39.66,DAMAGED,2246.0604000000044,19.0,LEAKAGE,2245.92
268,0.0,29160.76,34,17.772727272727273,11,ASD-MTB-FOF021-AHU052,52.15,DAMAGED,29157.252299999953,190.0,NOT WORKING,29160.76
31,0.0,0.0,4,21.735294117647054,3,ASD-COC-TFL005-AHU163,66.78,DAMAGED,0.0,86.0,DAMAGED,0.0
108,0.0,0.0,8,14.041666666666666,4,ASD-COC-TFL004-AHU140,57.03,DAMAGED,0.0,43.0,DAMAGED,0.0
307,0.0,5115.78,46,7.888888888888889,11,ASD-COA-GFL002-AHU067,32.09,DAMAGED,5115.583700000014,51.0,DIRTY,5115.78
299,0.0,24968.9,62,5.140845070422535,11,ASD-MTB-FOF008-AHU014,32.8,DAMAGED,24968.899999999954,17.0,DAMAGED,24968.9
0,0.0,0.0,2,26.25,5,ASD-MTB-FOF024-AHU053,63.87,DAMAGED,0.0,120.0,LEAKAGE,0.0
326,0.0,1655.6799999999998,22,20.25,11,ASD-COC-TFL006-AHU147,40.07,DAMAGED,1655.3549999999968,63.0,DAMAGED,1655.6799999999998
0,0.0,0.0,2,29.83333333333333,1,ASD-COB-APR-AHU095,66.02,DAMAGED,0.0,41.0,NOT WORKING,0.0
464,0.0,21835.46,48,8.763157894736842,5,ASD-MTB-FOF010-AHU058,30.87,DIRTY,21836.33310000001,0.0,DIRTY,21835.46
260,0.0,512.6,16,12.36,11,ASD-COC-TFL001-AHU129,36.79,DIRTY,512.5999999999991,5.0,LEAKAGE,512.6
426,0.0,1652.16,22,20.33333333333333,3,ASD-COC-GFL008-AHU110,58.91,DAMAGED,1652.2485000000029,14.0,NOT WORKING,1652.16
249,0.0,1587.44,18,12.090909090909092,11,ASD-MTB-GFL013-AHU012,36.16,DAMAGED,1588.1227000000013,18.0,DIRTY,1587.44
29,0.0,8991.76,16,13.37037037037037,3,ASD-MTB-FOF021-AHU050,65.86,DIRTY,8991.798500000008,76.0,NOT WORKING,8991.76
6,0.0,0.0,4,26.35,2,ASD-COA-APR-AHU077,47.97,DAMAGED,0.0,27.0,NOT WORKING,0.0
98,0.0,1635.78,28,8.777777777777779,5,ASD-COB-GFL016-AHU091,30.8,WARNING,1635.2714999999998,46.0,NOT WORKING,1635.78
277,0.0,1856.96,18,23.227272727272727,1,ASD-COB-AM5-AHU02,62.83,WATER LEAKAGE,1857.5920999999998,59.0,WATER LEAKAGE,1856.96
