Asset Age,Time Since Last Maintenance,Total Spare Parts Cost,Failure Count,Avg Time Between Maintenance,Month,Asset Number,Predicted Time to Next Failure,Predicted Failure Type,Predicted Cost,Actual Time to Next Failure,Actual Failure Type,Actual Cost
497,0.0,46986.94,88,4.8359375,7,ASD-COB-GFL18A-AHU191,5.0,DAMAGED,47009.774500000014,34.0,DAMAGED,46986.94
624,0.0,56861.7,95,5.202702702702703,10,ASD-COA-GFL003-AHU184,1.07,DAMAGED,56851.59189999997,0.0,DAMAGED,56861.7
458,0.0,1121.58,24,4.6506849315068495,9,ASD-MTB-GFL008-AHU008,1.89,DAMAGED,1121.9161000000013,0.0,DAMAGED,1121.58
577,84.0,28310.98,59,6.906976744186046,1,ASD-COB-GFL017-AHU085,0.0,DIRTY,28313.9169,0.0,DIRTY,28310.98
295,0.0,5485.8,22,10.84722222222222,11,ASD-COB-GFL018-AHU090,23.97,DIRTY,5485.813599999994,8.0,DAMAGED,5485.8
438,0.0,22330.72,52,6.906976744186046,9,ASD-COB-GFL017-AHU085,2.85,DIRTY,22314.710599999962,0.0,DIRTY,22330.72
500,36.0,25722.82,55,8.763157894736842,6,ASD-MTB-FOF010-AHU058,0.0,DIRTY,25722.095300000023,0.0,DIRTY,25722.82
46,0.0,21353.4,24,6.971698113207547,3,ASD-MTB-FOF009-AHU019,2.67,DIRTY,21363.276799999992,13.0,DIRTY,21353.4
463,0.0,31279.78,57,6.339622641509434,4,ASD-COA-GFL004-AHU070,0.71,DAMAGED,31279.937899999975,0.0,DAMAGED,31279.78
206,8.0,6814.8,27,9.743589743589745,8,ASD-COB-GFL018-AHU084,0.0,DAMAGED,6815.5405000000055,0.0,DAMAGED,6814.8
507,0.0,48707.48,46,9.338235294117649,6,ASD-MTB-FOF07A-AHU181,14.58,DAMAGED,48730.71130000001,15.0,DAMAGED,48707.48
625,0.0,13288.14,56,9.90277777777778,9,ASD-MTB-FOF024-AHU196,1.65,DAMAGED,13290.094499999996,2.0,DAMAGED,13288.14
294,23.0,3583.6800000000003,13,16.416666666666668,12,ASD-COC-GFL008-AHU125,0.0,DAMAGED,3583.8567999999946,0.0,DIRTY,3583.6800000000003
769,0.0,7583.6,71,9.7375,2,ASD-COC-GFL001-AHU096,4.28,DAMAGED,7586.512599999995,0.0,DAMAGED,7583.6
637,0.0,33630.12,87,7.149122807017544,10,ASD-COC-GFL002-AHU118,5.89,DIRTY,33630.69750000001,0.0,DIRTY,33630.12
608,0.0,9403.9,65,5.607142857142857,10,ASD-COC-GFL005-AHU124,0.36,DIRTY,9405.919999999998,0.0,DIRTY,9403.9
327,0.0,10198.44,32,9.86904761904762,11,ASD-COC-GFL004-AHU121,27.73,DIRTY,10198.439999999973,19.0,DIRTY,10198.44
473,0.0,11917.34,104,3.852564102564103,5,ASD-MTB-FOF009-AHU017,0.71,WARNING,11920.19840000001,0.0,WARNING,11917.34
219,0.0,4975.36,12,15.826086956521738,9,ASD-COC-GFL006-AHU109,7.8,WARNING,4970.195599999999,50.0,WARNING,4975.36
512,2.0,85032.42,121,4.746753246753247,7,ASD-MTB-GFL06A-AHU169,0.0,DIRTY,85032.41999999994,0.0,NOT WORKING,85032.42
761,0.0,61536.6,102,7.481481481481482,2,ASD-COC-GFL003-AHU120,5.71,DIRTY,61567.63130000003,0.0,DIRTY,61536.6
305,80.0,1920.64,11,20.83333333333333,11,ASD-COC-GFL002-AHU100,0.0,DAMAGED,1921.148800000004,0.0,DAMAGED,1920.64
225,0.0,20241.4,68,5.044303797468355,8,ASD-COA-GFL001-AHU066,2.04,WARNING,20241.316999999963,17.0,WARNING,20241.4
4,4.0,8182.059999999999,13,3.05078125,1,ASD-MTB-FOF010-AHU040,0.0,NOT WORKING,8182.060000000019,0.0,NOT WORKING,8182.059999999999
536,0.0,39650.15,112,3.0992063492063493,6,ASD-MTB-FOF010-AHU042,9.49,DIRTY,39664.586499999954,0.0,DIRTY,39650.15
538,0.0,3959.7,66,8.777777777777779,7,ASD-COB-GFL016-AHU091,5.18,WARNING,3949.140699999996,0.0,WARNING,3959.7
602,0.0,26909.28,75,7.149122807017544,9,ASD-COC-GFL002-AHU118,2.16,DAMAGED,26905.778200000022,0.0,DAMAGED,26909.28
781,6.0,48874.68,113,7.149122807017544,3,ASD-COC-GFL002-AHU118,0.0,DIRTY,48870.19089999999,0.0,DIRTY,48874.68
239,0.0,19420.7,30,10.5,9,ASD-MTB-FOF021-AHU048,2.45,DIRTY,19418.115899999986,0.0,DIRTY,19420.7
744,0.0,77792.44,162,4.128865979381444,1,ASD-MTB-FOF021-AHU054,4.16,NOT WORKING,77798.59120000016,4.0,NOT WORKING,77792.44
0,,0.0,1,20.33333333333333,1,ASD-COC-GFL008-AHU110,0.0,NOISY,0.0,0.0,NOT WORKING,0.0
0,,27.12,1,6.803921568627451,2,ASD-MTB-FOF008-AHU062,0.0,DAMAGED,25.543299999999995,0.0,DIRTY,27.12
180,0.0,2086.4,8,16.416666666666668,9,ASD-COC-GFL008-AHU125,27.21,DIRTY,2086.1863999999973,36.0,WATER LEAKAGE,2086.4
487,0.0,13097.06,114,3.852564102564103,6,ASD-MTB-FOF009-AHU017,1.66,WARNING,13096.72520000003,23.0,WARNING,13097.06
11,0.0,826.33,9,5.551724137931035,1,ASD-MTB-FOF021-AHU056,5.48,WARNING,823.9644000000004,0.0,WARNING,826.33
294,24.0,4733.42,23,9.90277777777778,10,ASD-MTB-FOF024-AHU196,0.0,DIRTY,4729.381200000004,0.0,DIRTY,4733.42
200,0.0,3838.14,16,6.344262295081967,7,ASD-COC-GFL002-AHU117,8.1,NOISY,3836.1776,0.0,NOISY,3838.14
348,0.0,41538.14,91,4.3478260869565215,12,ASD-MTB-FOF008-AHU018,0.98,DIRTY,41529.259699999995,0.0,DIRTY,41538.14
335,0.0,41645.68,134,3.05078125,12,ASD-MTB-FOF010-AHU040,5.87,NOT WORKING,41645.68000000007,4.0,NOT WORKING,41645.68
175,6.0,10288.06,49,4.404109589041096,7,ASD-MTB-FOF008-AHU206,0.0,DAMAGED,10280.630299999992,0.0,DIRTY,10288.06
419,93.0,2193.36,19,15.875,6,ASD-MTB-GFL022-AHU010,0.0,DAMAGED,2193.2285999999945,0.0,NOT WORKING,2193.36
478,0.0,74769.0,82,5.921875,5,ASD-COB-GFL020-AHU082,14.84,WARNING,74736.8092,12.0,DIRTY,74769.0
0,0.0,3837.97,4,7.819148936170213,1,ASD-MTB-FOF010-AHU036,0.26,DIRTY,3835.8732,0.0,DIRTY,3837.97
